File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
./Code/keepassxc-develop/src/fdosecrets/dbus/DBusDispatch.cpp,86,20,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,            if (mm.access() != QMetaMethod::Public || mm.methodType() != QMetaMethod::Method) {,6b597b53f07b70c152f01c865306ffadbc64c441dd958f753db5d76d3f5d2a43,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./Code/keepassxc-develop/src/cli/Utils.cpp,212,26,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","        const auto env = getenv(""KEYPASSXC_AFL_PASSWORD"");",147245ed0c9a00ece130d77ffe163c945ca972921fab112b6428b65e4e4afae9,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
./Code/keepassxc-develop/src/core/Bootstrap.cpp,183,14,3,3,misc,AddAccessAllowedAce,This doesn't set the inheritance bits in the access control entry (ACE) header (CWE-732).,Make sure that you set inheritance by hand if you wish it to inherit.,,CWE-732,        if (!AddAccessAllowedAce(,17504a6f351bb3bdbe9f096d98297034a8da337cfff07b99e299e841836c6cd1,2.0.19,FF1061,https://cwe.mitre.org/data/definitions/732.html
./Code/keepassxc-develop/src/core/Bootstrap.cpp,194,14,3,3,misc,AddAccessAllowedAce,This doesn't set the inheritance bits in the access control entry (ACE) header (CWE-732).,Make sure that you set inheritance by hand if you wish it to inherit.,,CWE-732,"        if (!AddAccessAllowedAce(pACL,",7e2e0bae11fc6a8b7ee8a77bdf7e926a21bf01c55742a162644efeaeb7424313,2.0.19,FF1061,https://cwe.mitre.org/data/definitions/732.html
./Code/keepassxc-develop/src/autotype/mac/AutoTypeMac.cpp,212,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char buffer[1024];,3474af3a84d38a685cce2d20df708587e9c57e5bb4c612e61586c780a1fe1236,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
./Code/keepassxc-develop/src/autotype/windows/AutoTypeWindows.cpp,260,5,2,2,buffer,wchar_t,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    wchar_t title[MAX_WINDOW_TITLE_LENGTH];,fe574eae7c7bd05fcbe9e067b3cab73b9e04277384eac63f76dcb0a012730863,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
./Code/keepassxc-develop/src/autotype/xcb/AutoTypeXCB.cpp,567,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char msg[200];,9c4bfaf13bff540928d10ae1632dd24397b7bff2d4b32c9ec41eb5233fc5e0e6,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
./Code/keepassxc-develop/src/browser/BrowserMessageBuilder.cpp,41,14,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    unsigned char pk[crypto_box_PUBLICKEYBYTES];,cc2647bc27bbb1c0861fe8bcc15fc1c67b4e9cc265a59806a4ff50ba79bb7ae9,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
./Code/keepassxc-develop/src/browser/BrowserMessageBuilder.cpp,42,14,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    unsigned char sk[crypto_box_SECRETKEYBYTES];,2a266a1bab0b5e0126640c63f76eaab241f62a117e35027b82a016192c1b3bda,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
./Code/keepassxc-develop/src/browser/NativeMessageInstaller.cpp,355,21,2,2,misc,open,"Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",,,CWE-362,    if (!scriptFile.open(QIODevice::WriteOnly)) {,58c5d7352833781d599986d9cb4068aad7dab819a39c1d0972294f15f1f7c5f3,2.0.19,FF1040,https://cwe.mitre.org/data/definitions/362.html
